canonical,alias
ABNER,AB
ABIGAIL,ABBY
ABRAHAM,ABE
ADDISON,ADDIS
ADELINA,ADDY
DELLA,ADELA
DELLA,ADELAIDE
ADELLE,ADELIA
ALINE,ADELINE
ADENA,ADINA
ADOLPHUS,ADO
ADOLPHUS,ADOLPH
ANDRIANE,ADRI
AGATHA,AGA
AUGUSTA,AGGIE
INEZ,AGNES
HELENA,AILEEN
ALEXANDER,ALEC
ALEKSANDR,ALEK
JALEN,ALEN
ALEXANDRIA,ALEXANDER
ALFONSE,ALFONSO
ALFONSE,ALFONZO
ALFREDA,ALFY
ALGERNON,ALGY
ALICE,ALICIA
ALIXANDRA,ALIX
ALLEN,ALLAN
ALLAN,ALLEN
ALPHINIAS,ALPHUS
MABEL,AMABEL
PARMELIA,AMELIA
MOSES,AMOS
AMELIA,AMY
ANASTACIA,ANASTASIA
ANSELM,ANCE
ANDREA,ANDI
ANDREAS,ANDRE
ANDREA,ANDREW
ANGELINE,ANGEL
ANGELA,ANGELENA
ANGELA,ANGELETTE
ANGELIQUE,ANGELI
ANGELA,ANGELIA
ANGELICA,ANGELIKA
ANGELA,ANGELINA
ANGELICA,ANGELIQUE
ANGELA,ANGIE
ANNABELLA,ANNABELLE
ANNA,ANNE
ANN,ANNETJE
ANN,ANNETTE
ANSELM,ANSE
ANSELM,ANSEL
SELMA,ANSELM
TONY,ANTHONY
ANTHONY,ANTON
ANTOINETTE,ANTONIA
ANTHONY,ANTONIO
ABSALOM,APP
APPOLINE,APPIE
APPOLINE,APPY
ARABELLE,ARA
BELLA,ARABELLA
ARCHIBALD,ARCHIE
ARDEN,ARD
ARDEN,ARDY
ARIADNE,ARI
CINDERELLA,ARILLA
ARLENE,ARLIE
ARLENE,ARLY
ARAMINTA,ARMIDA
ARNOLD,ARNIE
ARNOLD,ARNY
ARTHUR,ART
ARDEN,ARTE
ARTHUR,ARTIE
ARTHUR,ARTY
ASHLEY,ASH
ASHLEY,ASHLY
ASENATH,ASSENE
EIGHTA,ATHY
AUDREY,AUDREE
AUGUST,AUG
AUGUST,AUGUSTINE
AUGUST,AUGUSTUS
AURELIA,AURILLA
AZARIAH,AZE
BARBARA,BABS
ALABAMA,BAMA
BARBARA,BARB
BARBARA,BARBIE
BARBARA,BARBY
BARNEY,BARNABAS
GARRETT,BARRETT
BARTHOLOMEW,BARTEL
BART,BARTHOLOMEW
BAZALEEL,BASIL
BARTHOLOMEW,BAT
BEA,BEATRICE
REBECCA,BECCA
REBECCA,BECKY
OBEDIENCE,BEDA
ABEDNEGO,BEDNEY
BEATRICE,BEE
OBEDIENCE,BEEDY
WILLIAM,BELA
ALBENA,BENA
BENEDICT,BENITO
BENJY,BENJAMIN
BENJAMIN,BENJY
BENEDICT,BENNET
BENEDICT,BENNETT
BENJAMIN,BENNY
BERNADETTE,BERNADINA
BERNARD,BERNEY
BERNARD,BERNIE
BERNARD,BERNY
ELIZABETH,BESS
ELIZABETH,BETSY
ELIZABETH,BETTE
ELIZABETH,BETTY
BEVERLY,BEV
TOBIAS,BIAS
BRIDGET,BIDDY
ABIJAH,BIGE
ABIJAH,BIJAH
WILLIAM,BILL
WILHEMINA,BILLIE
WILMA,BILLIEWILHELM
BERTHA,BIRDIE
ROBERTA,BIRTIE
BOETIUS,BO
ROBERT,BOB
ROBERTA,BOBBIE
ROBERT,BOBBY
BRAD,BRADFORD
BRODERICK,BRADY
BRENDA,BRANDY
BRYANNA,BRIANA
BRYANNA,BRIANNA
BRIDGET,BRIDGIE
BEDELIA,BRIDGIT
BRIDGET,BRIDIE
SABRINA,BRINA
BRIDGET,BRITTA
AMBROSE,BROSE
BRIAN,BRYAN
BRIAN,BRYANT
VANBUREN,BUREN
EGBERT,BURT
MICAJAH,CAGE
CALVIN,CAL
KALLI,CALI
CALIFORNIA,CALLIE
CALDONIA,CALLIEDONA
CALPURNIA,CALLY
